rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,2.6145188053448996,5.549885952,1.5595662593841553,4.756757598656294
16,32,3686400,2.768162139256795,4.95100672,1.5186303853988647,4.565967295189025
64,128,14745600,2.636783480644226,6.334183936,1.4775828123092651,4.3823399299021135
